EndUseID,PrimaryProductID,TimberProductID,TimberProduct,PrimaryProduct,EndUseProduct
115,17,3,"hardwood, pulpwood",non-structural panels,"new housing, manufactured housing"
116,17,3,"hardwood, pulpwood",non-structural panels,"manufacturing, furniture"
117,17,3,"hardwood, pulpwood",non-structural panels,"rail and railcar, n/a"
118,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"manufacturing, other manufacturing"
119,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"packaging and shipping, n/a"
120,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"other, n/a"
121,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"manufacturing, furniture"
122,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"rail and railcar, n/a"
123,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"new nonresidential, new nonres buildings"
124,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"new housing, single family"
125,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"new housing, manufactured housing"
126,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"residential r and r, n/a"
127,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"new nonresidential, other"
128,18,3,"hardwood, pulpwood",oriented strandboard (OSB),"new housing, multifamily"
129,19,3,"hardwood, pulpwood",other industrial products,other industrial products
130,20,3,"hardwood, pulpwood",plywood,"residential r and r, n/a"
131,20,3,"hardwood, pulpwood",plywood,"packaging and shipping, n/a"
132,20,3,"hardwood, pulpwood",plywood,"new housing, manufactured housing"
133,20,3,"hardwood, pulpwood",plywood,"new housing, single family"
134,20,3,"hardwood, pulpwood",plywood,"new housing, multifamily"
135,20,3,"hardwood, pulpwood",plywood,"other, n/a"
136,20,3,"hardwood, pulpwood",plywood,"manufacturing, other manufacturing"
137,20,3,"hardwood, pulpwood",plywood,"rail and railcar, n/a"
138,20,3,"hardwood, pulpwood",plywood,"new nonresidential, new nonres buildings"
139,20,3,"hardwood, pulpwood",plywood,"manufacturing, furniture"
140,20,3,"hardwood, pulpwood",plywood,"new nonresidential, other"
141,21,3,"hardwood, pulpwood",wood pulp,wood pulp
142,22,4,"softwood, pulpwood",fuelwood and other,fuelwood and other
143,23,4,"softwood, pulpwood",lumber,"residential r and r, n/a"
144,23,4,"softwood, pulpwood",lumber,"manufacturing, furniture"
145,23,4,"softwood, pulpwood",lumber,"new housing, manufactured housing"
146,23,4,"softwood, pulpwood",lumber,"new housing, multifamily"
147,23,4,"softwood, pulpwood",lumber,"new nonresidential, new nonres buildings"
148,23,4,"softwood, pulpwood",lumber,"new nonresidential, other"
149,23,4,"softwood, pulpwood",lumber,"manufacturing, other manufacturing"
150,23,4,"softwood, pulpwood",lumber,"packaging and shipping, n/a"
151,23,4,"softwood, pulpwood",lumber,"other, n/a"
152,23,4,"softwood, pulpwood",lumber,"new housing, single family"
153,23,4,"softwood, pulpwood",lumber,"rail and railcar, n/a"
154,24,4,"softwood, pulpwood",non-structural panels,"new housing, single family"
155,24,4,"softwood, pulpwood",non-structural panels,"manufacturing, furniture"
156,24,4,"softwood, pulpwood",non-structural panels,"other, n/a"
157,24,4,"softwood, pulpwood",non-structural panels,"packaging and shipping, n/a"
158,24,4,"softwood, pulpwood",non-structural panels,"new nonresidential, new nonres buildings"
159,24,4,"softwood, pulpwood",non-structural panels,"manufacturing, other manufacturing"
160,24,4,"softwood, pulpwood",non-structural panels,"new nonresidential, other"
161,24,4,"softwood, pulpwood",non-structural panels,"residential r and r, n/a"
162,24,4,"softwood, pulpwood",non-structural panels,"new housing, multifamily"
163,24,4,"softwood, pulpwood",non-structural panels,"rail and railcar, n/a"
164,24,4,"softwood, pulpwood",non-structural panels,"new housing, manufactured housing"
165,25,4,"softwood, pulpwood",oriented strandboard (OSB),"manufacturing, furniture"
166,25,4,"softwood, pulpwood",oriented strandboard (OSB),"manufacturing, other manufacturing"
167,25,4,"softwood, pulpwood",oriented strandboard (OSB),"new nonresidential, other"
168,25,4,"softwood, pulpwood",oriented strandboard (OSB),"new housing, single family"
169,25,4,"softwood, pulpwood",oriented strandboard (OSB),"new housing, multifamily"
170,25,4,"softwood, pulpwood",oriented strandboard (OSB),"new housing, manufactured housing"
171,25,4,"softwood, pulpwood",oriented strandboard (OSB),"residential r and r, n/a"
172,25,4,"softwood, pulpwood",oriented strandboard (OSB),"rail and railcar, n/a"
173,25,4,"softwood, pulpwood",oriented strandboard (OSB),"packaging and shipping, n/a"
174,25,4,"softwood, pulpwood",oriented strandboard (OSB),"other, n/a"
175,25,4,"softwood, pulpwood",oriented strandboard (OSB),"new nonresidential, new nonres buildings"
176,26,4,"softwood, pulpwood",other industrial products,other industrial products
177,27,4,"softwood, pulpwood",plywood,"rail and railcar, n/a"
178,27,4,"softwood, pulpwood",plywood,"new nonresidential, other"
179,27,4,"softwood, pulpwood",plywood,"other, n/a"
180,27,4,"softwood, pulpwood",plywood,"manufacturing, other manufacturing"
181,27,4,"softwood, pulpwood",plywood,"new nonresidential, new nonres buildings"
182,27,4,"softwood, pulpwood",plywood,"packaging and shipping, n/a"
183,27,4,"softwood, pulpwood",plywood,"new housing, manufactured housing"
184,27,4,"softwood, pulpwood",plywood,"new housing, multifamily"
185,27,4,"softwood, pulpwood",plywood,"new housing, single family"
186,27,4,"softwood, pulpwood",plywood,"manufacturing, furniture"
187,27,4,"softwood, pulpwood",plywood,"residential r and r, n/a"
188,28,4,"softwood, pulpwood",wood pulp,wood pulp
189,29,5,"hardwood, poles","hardwood, poles","hardwood, poles"
190,30,6,"softwood, poles","softwood, poles","softwood, poles"
191,31,7,"hardwood, pilings","hardwood, pilings","hardwood, pilings"
192,32,8,"softwood, pilings","softwood, pilings","softwood, pilings"
193,33,9,"hardwood, mine props","hardwood, mine props","hardwood, mine props"
194,34,10,"softwood, mine props","softwood, mine props","softwood, mine props"
195,35,11,"hardwood, posts","hardwood, posts","hardwood, posts"
196,36,12,"softwood, posts","softwood, posts","softwood, posts"
197,37,13,"hardwood, fuelwood","hardwood, fuelwood","hardwood, fuelwood"
198,38,14,"softwood, fuelwood","softwood, fuelwood","softwood, fuelwood"
199,39,15,"hardwood, non-sawtimber","hardwood, non-sawtimber","hardwood, non-sawtimber"
200,40,16,"softwood, non-sawtimber","softwood, non-sawtimber","softwood, non-sawtimber"
201,41,17,"hardwood, ties","hardwood, ties","hardwood, ties"
202,42,18,"softwood, ties","softwood, ties","softwood, ties"
203,43,19,"hardwood, coop bolts","hardwood, coop bolts","hardwood, coop bolts"
204,44,20,"softwood, coop bolts","softwood, coop bolts","softwood, coop bolts"
205,45,21,"hardwood, acid/dist.","hardwood, acid/dist.","hardwood, acid/dist."
206,46,22,"softwood, acid/dist.","softwood, acid/dist.","softwood, acid/dist."
207,47,23,"hardwood, float logs","hardwood, float logs","hardwood, float logs"
208,48,24,"softwood, float logs","softwood, float logs","softwood, float logs"
209,49,25,"hardwood, trap float","hardwood, trap float","hardwood, trap float"
210,50,26,"softwood, trap float","softwood, trap float","softwood, trap float"
211,51,27,"hardwood, misc-conv.","hardwood, misc-conv.","hardwood, misc-conv."
212,52,28,"softwood, misc-conv.","softwood, misc-conv.","softwood, misc-conv."
213,53,29,"hardwood, nav stores","hardwood, nav stores","hardwood, nav stores"
214,54,30,"softwood, nav stores","softwood, nav stores","softwood, nav stores"
215,55,31,"hardwood, cull logs","hardwood, cull logs","hardwood, cull logs"
216,56,32,"softwood, cull logs","softwood, cull logs","softwood, cull logs"
217,57,33,"hardwood, sm rnd wd","hardwood, sm rnd wd","hardwood, sm rnd wd"
218,58,34,"softwood, sm rnd wd","softwood, sm rnd wd","softwood, sm rnd wd"
219,59,35,"hardwood, grn bio cv","hardwood, grn bio cv","hardwood, grn bio cv"
220,60,36,"softwood, grn bio cv","softwood, grn bio cv","softwood, grn bio cv"
221,61,37,"hardwood, dry bio cv","hardwood, dry bio cv","hardwood, dry bio cv"
222,62,38,"softwood, dry bio cv","softwood, dry bio cv","softwood, dry bio cv"
223,63,39,"hardwood, sp wood pr","hardwood, sp wood pr","hardwood, sp wood pr"
224,64,40,"softwood, sp wood pr","softwood, sp wood pr","softwood, sp wood pr"
